Player,Span,Matches,Innings,Not Outs,Runs,Highest Score,Average,Balls Faced,Strike Rate,100,50,0,4s,6s,Country
JM Bairstow ,2011-2023,70,64,13,1512,90,29.64,1099,137.57,0,10,5,135,67,ENG
Mushfiqur Rahim ,2006-2022,102,93,16,1500,72*,19.48,1304,115.03,0,6,8,126,37,BAN
KJ Coetzer ,2008-2021,70,68,2,1495,89,22.65,1254,119.21,0,6,4,158,48,SCOT
DPMD Jayawardene ,2006-2014,55,55,8,1493,100,31.76,1121,133.18,1,9,4,173,33,SL
Ahmed Shehzad ,2009-2019,59,59,2,1471,111*,25.80,1282,114.74,1,7,2,157,33,PAK
E Lewis ,2016-2022,53,52,3,1465,125*,29.89,964,151.97,2,10,4,108,111,WI
SR Watson ,2006-2016,58,56,6,1462,124*,29.24,1006,145.32,1,10,3,115,83,AUS
TP Ura ,2015-2023,49,48,7,1447,107*,35.29,920,157.28,1,12,4,106,87,PNG
CR Ervine ,2010-2024,68,67,4,1429,70,22.68,1345,106.24,0,9,4,141,30,ZIM
Shahid Afridi ,2006-2018,99,91,12,1416,54*,17.92,944,150.00,0,4,8,103,73,ICC/PAK
MD Shanaka ,2015-2024,91,85,19,1386,74*,21.00,1131,122.54,0,5,10,102,68,SL
KC Sangakkara ,2006-2014,56,53,9,1382,78,31.40,1156,119.55,0,8,2,139,20,SL
Asghar Afghan ,2010-2021,75,68,5,1382,62,21.93,1247,110.82,0,4,5,87,69,AFG
MS Chapman ,2014-2024,67,59,10,1381,104*,28.18,1050,131.52,1,7,3,117,52,HKG/NZ
II Selemani ,2021-2023,57,56,4,1350,81,25.96,881,153.23,0,7,6,148,77,TAN
HH Pandya ,2016-2023,92,71,18,1348,71*,25.43,964,139.83,0,3,3,96,69,IND
Ahmed Faiz ,2019-2023,62,54,6,1345,105*,28.02,1059,127.00,1,6,4,104,55,MAL
DS Airee ,2018-2023,53,46,11,1344,110*,38.40,948,141.77,1,7,0,104,52,NEP
R Sandaruwan ,2019-2023,45,45,2,1338,103,31.11,905,147.84,1,8,5,117,76,KUW
BKG Mendis ,2016-2024,58,58,2,1324,79,23.64,997,132.79,0,12,5,107,61,SL
HM Amla ,2009-2018,44,44,6,1277,97*,33.60,967,132.05,0,8,2,146,26,SA/World
DP Conway ,2020-2024,44,41,8,1275,99*,38.63,991,128.65,0,9,1,123,32,NZ
MR Marsh ,2011-2023,49,47,9,1272,92*,33.47,955,133.19,0,8,2,110,53,AUS
Rahmanullah Gurbaz ,2019-2024,49,49,0,1271,100,25.93,927,137.10,1,6,4,97,77,AFG
Nizakat Khan ,2014-2023,71,69,1,1269,81,18.66,1080,117.50,0,5,7,118,33,HKG
GC Wilson ,2008-2020,81,68,8,1268,65*,21.13,1212,104.62,0,3,4,108,20,IRE
DJ Mitchell ,2019-2024,63,60,12,1260,72*,26.25,909,138.61,0,7,2,86,48,NZ
AD Mathews ,2009-2024,81,65,19,1260,81*,27.39,1064,118.42,0,6,1,84,41,SL
Babar Hayat ,2014-2023,52,52,8,1259,122,28.61,970,129.79,1,7,4,86,69,HKG
DJ Bravo ,2006-2021,91,74,17,1255,66*,22.01,1091,115.03,0,4,5,73,55,WI
BN Cooper ,2013-2021,58,55,11,1239,91*,28.15,993,124.77,0,9,7,118,38,NED
CS MacLeod ,2009-2022,64,61,9,1238,74,23.80,1115,111.03,0,7,8,107,23,SCOT
Soumya Sarkar ,2015-2023,75,74,3,1238,68,17.43,1009,122.69,0,5,11,122,47,BAN
IA Karim ,2013-2023,58,51,16,1227,71*,35.05,1213,101.15,0,8,2,108,15,KENYA
R Powell ,2017-2023,68,58,11,1214,107,25.82,851,142.65,1,5,2,69,81,WI
Riazat Ali Shah ,2019-2023,57,49,14,1212,98*,34.62,933,129.90,0,4,3,85,56,UGA
TL Seifert ,2018-2024,56,53,6,1204,88,25.61,894,134.67,0,8,5,102,54,NZ
NLTC Perera ,2010-2021,84,74,22,1204,61,23.15,794,151.63,0,3,8,88,64,ICC/SL/World
R Satheesan ,2019-2023,38,36,5,1197,99*,38.61,770,155.45,0,9,2,121,61,ROM
MG Erasmus ,2019-2023,52,50,13,1194,100*,32.27,972,122.83,1,7,2,93,43,NAM
O Tuyisenge ,2021-2023,71,70,4,1181,100*,17.89,1128,104.69,1,3,11,123,28,RWN
AR Patwa ,2021-2023,47,47,4,1178,79,27.39,961,122.58,0,6,3,140,37,TAN
Yuvraj Singh ,2007-2017,58,51,9,1177,77*,28.02,863,136.38,0,8,1,77,74,IND
KP Pietersen ,2005-2013,37,36,5,1176,79,37.93,831,141.51,0,7,1,119,32,ENG
HT Tector ,2019-2023,67,61,11,1171,64*,23.42,970,120.72,0,4,2,87,29,IRE
RR Patel ,2008-2023,64,54,14,1164,73*,29.10,848,137.26,0,6,2,83,69,KENYA
RP Burl ,2018-2024,74,68,25,1156,57*,26.88,984,117.47,0,2,1,75,48,ZIM
MM Ali ,2014-2023,82,69,17,1154,72*,22.19,805,143.35,0,7,9,86,63,ENG
S Davizi ,2019-2023,31,31,3,1149,115*,41.03,827,138.93,3,6,1,124,40,CZK-R
Muhammad Tanveer ,2019-2023,43,39,12,1149,88*,42.55,851,135.01,0,9,1,79,69,QAT
MS Wade ,2011-2023,80,61,19,1146,80,27.28,848,135.14,0,3,1,91,45,AUS
P Nissanka ,2021-2024,45,44,2,1140,75,27.14,1012,112.64,0,9,4,107,25,SL
A Vala ,2015-2023,53,51,9,1120,93*,26.66,932,120.17,0,7,0,103,34,PNG
AK Markram ,2019-2023,39,35,6,1118,70,38.55,742,150.67,0,9,1,98,47,SA
Afif Hossain ,2018-2023,69,63,9,1109,77*,20.53,927,119.63,0,3,6,81,38,BAN
SS Iyer ,2017-2023,51,47,11,1104,74*,30.66,811,136.12,0,8,4,90,44,IND
Zeeshan Maqsood ,2015-2023,53,43,8,1100,102*,31.42,903,121.81,1,5,3,112,40,OMA
VP Thamotharam ,2020-2023,51,49,7,1097,104*,26.11,749,146.46,1,6,2,81,64,MLT
Hazratullah Zazai ,2016-2024,41,41,3,1092,162*,28.73,831,131.40,1,3,3,102,63,AFG
BA King ,2019-2023,45,43,4,1092,85*,28.00,829,131.72,0,8,4,118,44,WI
SPD Smith ,2010-2023,65,53,11,1079,90,25.69,862,125.17,0,5,1,94,25,AUS
WTS Porterfield ,2008-2018,61,59,6,1079,72,20.35,971,111.12,0,3,5,120,23,IRE
Jatinder Singh ,2015-2023,50,50,7,1078,73*,25.06,924,116.66,0,5,3,108,21,OMA
HE van der Dussen ,2018-2023,43,39,8,1071,94*,34.54,829,129.19,0,7,1,68,48,SA
LD Chandimal ,2010-2022,68,61,7,1062,66*,19.66,1025,103.60,0,6,0,90,22,SL
FH Allen ,2021-2024,40,40,0,1055,137,26.37,644,163.81,2,4,2,93,72,NZ
LJ Tucker ,2016-2023,62,58,8,1054,94*,21.08,859,122.70,0,6,6,96,25,IRE
V Aravind ,2020-2024,48,43,5,1052,97*,27.68,936,112.39,0,6,4,105,23,UAE
W Madhevere ,2020-2023,60,57,7,1047,73*,20.94,880,118.97,0,7,5,119,14,ZIM
MH Cross ,2013-2023,65,54,8,1038,66*,22.56,898,115.59,0,5,5,105,25,SCOT
E Dusingizimana ,2021-2023,58,57,3,1018,66*,18.85,950,107.15,0,4,5,103,35,RWN
J Charles ,2011-2023,45,44,0,1015,118,23.06,787,128.97,1,4,5,105,47,WI
Samiullah Shinwari ,2010-2022,65,56,10,1013,61,22.02,858,118.06,0,2,2,76,37,AFG
Rohan Mustafa ,2014-2023,58,53,5,1006,77,20.95,827,121.64,0,4,7,108,27,UAE
RG Mukasa ,2019-2023,51,49,5,997,89,22.65,810,123.08,0,3,5,120,30,UGA
Zubaidi Zulkifle ,2019-2023,46,45,2,996,96,23.16,643,154.89,0,3,5,101,51,MAL
Razmal Shigiwal ,2019-2023,39,35,5,990,95*,33.00,725,136.55,0,6,2,81,39,Aut
K Motlhanka ,2019-2023,39,38,4,990,84,29.11,890,111.23,0,7,2,113,19,BOT
Kamran Akmal ,2006-2017,58,53,6,987,73,21.00,825,119.63,0,5,7,100,31,PAK
RR Pant ,2017-2022,66,56,12,987,65*,22.43,781,126.37,0,3,3,86,37,IND
CL White ,2007-2014,47,44,14,984,85*,32.80,740,132.97,0,5,3,71,44,AUS
GC Smith ,2005-2011,33,33,2,982,89*,31.67,770,127.53,0,5,1,123,26,SA
Sabbir Rahman ,2014-2022,48,47,5,977,80,23.26,819,119.29,0,4,3,92,29,BAN
Shaiman Anwar ,2014-2019,32,32,3,971,117*,33.48,770,126.10,1,6,1,75,43,UAE
GH Dockrell ,2010-2023,128,80,31,969,58*,19.77,735,131.83,0,1,8,67,36,IRE
ADS Fletcher ,2008-2021,54,52,7,950,84*,21.11,853,111.37,0,6,7,66,51,WI
AP Rajeevan ,2022-2023,45,42,7,943,70,26.94,829,113.75,0,6,0,90,16,TAN
BA Pai ,2019-2023,32,32,7,940,107*,37.60,800,117.50,1,5,1,86,15,GIBR
BRM Taylor ,2006-2021,45,45,6,934,75*,23.94,790,118.22,0,6,5,93,24,ZIM
