Player,Span,Matches,Innings,Balls,Overs,Maidens,Runs,Wickets,Best Bowling Figures,Bowling AVG,Economy,Strike Rate,4 Wickets,5 Wickets,Country
PM Seelaar ,2008-2021,77,64,1132,188.4,4,1290,58,4/19,22.24,6.83,19.51,1,0,NED
Junaid Siddique ,2019-2024,47,47,1037,172.5,2,1305,58,4/12,22.50,7.55,17.87,1,0,UAE
Sikandar Raza ,2013-2024,81,70,1142,190.2,2,1329,58,4/8,22.91,6.98,19.68,2,0,ZIM
K Rabada ,2014-2023,56,56,1207,201.1,1,1733,58,3/20,29.87,8.61,20.81,0,0,SA
AF Milne ,2010-2024,50,48,1025,170.5,3,1411,57,5/26,24.75,8.25,17.98,2,1,NZ
RE van der Merwe ,2009-2022,52,50,997,166.1,1,1070,56,4/35,19.10,6.43,17.80,1,0,NED/SA
S Badree ,2012-2018,52,52,1146,191.0,4,1180,56,4/15,21.07,6.17,20.46,1,0,WI/World
CW Perchard ,2019-2023,37,35,779,129.5,0,799,55,5/17,14.52,6.15,14.16,2,1,JER
F Nsubuga ,2019-2023,54,53,1103,183.5,15,882,55,3/9,16.03,4.79,20.05,0,0,UGA
WB Rankin ,2009-2020,50,49,1068,178.0,2,1219,55,3/16,22.16,6.84,19.41,0,0,ENG/IRE
PJ Cummins ,2011-2022,50,50,1098,183.0,3,1350,55,3/15,24.54,7.37,19.96,0,0,AUS
PVD Chameera ,2015-2024,55,55,1178,196.2,0,1588,55,4/17,28.87,8.08,21.41,1,0,SL
Pavandeep Singh ,2019-2023,44,44,954,159.0,3,939,54,3/12,17.38,5.90,17.66,0,0,MAL
BM Scholtz ,2019-2023,49,49,1012,168.4,0,968,54,4/12,17.92,5.73,18.74,1,0,NAM
Sohail Tanvir ,2007-2017,57,57,1214,202.2,3,1454,54,3/12,26.92,7.18,22.48,0,0,PAK
AM Kimote ,2021-2023,56,52,852,142.0,2,1021,53,4/13,19.26,7.19,16.07,2,0,TAN
B Muzarabani ,2018-2024,46,45,984,164.0,3,1233,53,3/21,23.26,7.51,18.56,0,0,ZIM
RA Jadeja ,2009-2023,66,64,1272,212.0,4,1506,53,3/15,28.41,7.10,24.00,0,0,IND
MNM Aslam ,2019-2023,41,40,840,140.0,7,843,52,4/5,16.21,6.02,16.15,2,0,KUW
Muslim Yar ,2019-2023,40,40,828,138.0,4,853,52,3/9,16.40,6.18,15.92,0,0,GER
C Rubagumya ,2021-2023,60,50,863,143.5,6,1047,52,3/5,20.13,7.27,16.59,0,0,RWN
SP Narine ,2012-2019,51,49,1102,183.4,1,1105,52,4/12,21.25,6.01,21.19,1,0,WI
Sompal Kami ,2014-2023,55,55,1060,176.4,4,1218,52,3/20,23.42,6.89,20.38,0,0,NEP
